iter	Passed	Remaining
568	45660	61869
569	45743	61793
570	45839	61734
571	45929	61668
572	46032	61617
573	46128	61558
574	46222	61495
575	46323	61442
576	46421	61386
577	46512	61319
578	46614	61266
579	46716	61214
580	46808	61149
581	46907	61092
582	47009	61039
583	47104	60977
584	47207	60926
585	47313	60877
586	47439	60854
587	47535	60793
588	47636	60737
589	47737	60682
590	47835	60624
591	47936	60567
592	48030	60503
593	48128	60444
594	48220	60377
595	48323	60322
596	48425	60267
597	48520	60204
598	48620	60146
599	48718	60086
600	48813	60022
601	48901	59949
602	49000	59889
603	49097	59827
604	49198	59770
605	49299	59712
606	49395	59648
607	49495	59590
608	49593	59528
609	49686	59460
610	49789	59404
611	49885	59340
612	49973	59267
